"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2020",74.42,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2020",42.75,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2020",59.36,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2020",129.08,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2020",183.93,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2020",253.82,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2020",221.47,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2020",85.4,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2020",138.14,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2020",73.5,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2020",,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2020",52.93,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2020",,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2020",52.04,"B",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2020",92.97,"U",,"T30:110_I11:264","R1:3513"
"AFG","BA:15715","SDG_0851_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2020",,"U",,"T30:110_I11:264","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2014",53.37,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2014",87.6,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2014",52.93,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2014",37.83,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2014",66.51,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2014",53.68,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2014",90.15,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2014",55.37,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2014",37.45,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2014",66.86,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2014",49.77,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2014",77.24,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2014",28.16,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2014",55.43,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2014",47.7,"U",,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2014",53.37,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2014",101.86,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2014",85.8,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2014",85.52,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2014",80.32,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2014",57.23,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2014",37.35,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2014",34.75,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2014",59.29,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2014",37.83,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2014",67.62,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2014",62.3,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2014",53.68,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2014",100.55,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2014",88.85,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2014",87.11,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2014",80.94,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2014",57.67,,,"T30:110","R1:3513"
"AFG","BB:6361","SDG_0851_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2014",37.15,,,"T30:110","R1:3513"
