"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_T","OC2_ISCO08_X","2021",28.18,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_TOTAL","2021",42.06,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_02","2021",51.23,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_11","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_12","2021",45.74,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_13","2021",43.63,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_14","2021",46.3,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_21","2021",42.43,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_22","2021",41.56,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_23","2021",29.14,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_24","2021",35.62,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_26","2021",34.74,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_32","2021",41.83,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_33","2021",39.89,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_34","2021",49.65,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_41","2021",43.65,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_42","2021",38.89,"U","T11:142","R1:3513_S3:8"
